tanggal,lokasi,parameter,nilai,satuan
2025-01-01,Gedung_A,Energy,188.7,kWh
2025-01-01,Gedung_A,Water,225.01,L
2025-01-01,Gedung_A,CO2,501.27,ppm
2025-01-01,Gedung_A,Waste,17.28,kg
2025-01-01,Gedung_B,Energy,205.2,kWh
2025-01-01,Gedung_B,Water,876.7,L
2025-01-01,Gedung_B,CO2,840.7,ppm
2025-01-01,Gedung_B,Waste,9.78,kg
2025-01-01,Gedung_C,Energy,151.73,kWh
2025-01-01,Gedung_C,Water,229.8,L
2025-01-01,Gedung_C,CO2,470.25,ppm
2025-01-01,Gedung_C,Waste,32.79,kg
2025-01-01,Gedung_D,Energy,84.51,kWh
2025-01-01,Gedung_D,Water,398.84,L
2025-01-01,Gedung_D,CO2,707.44,ppm
2025-01-01,Gedung_D,Waste,34.97,kg
2025-01-01,Gedung_E,Energy,117.47,kWh
2025-01-01,Gedung_E,Water,789.27,L
2025-01-01,Gedung_E,CO2,795.19,ppm
2025-01-01,Gedung_E,Waste,5.36,kg
2025-01-01,Gedung_F,Energy,216.99,kWh
2025-01-01,Gedung_F,Water,898.14,L
2025-01-01,Gedung_F,CO2,537.14,ppm
2025-01-01,Gedung_F,Waste,13.55,kg
2025-01-01,Gedung_G,Energy,242.73,kWh
2025-01-01,Gedung_G,Water,536.59,L
2025-01-01,Gedung_G,CO2,401.01,ppm
2025-01-01,Gedung_G,Waste,10.32,kg
2025-01-01,Gedung_H,Energy,224.07,kWh
2025-01-01,Gedung_H,Water,803.73,L
2025-01-01,Gedung_H,CO2,793.92,ppm
2025-01-01,Gedung_H,Waste,45.14,kg
2025-01-01,Gedung_I,Energy,171.16,kWh
2025-01-01,Gedung_I,Water,1173.12,L
2025-01-01,Gedung_I,CO2,558.19,ppm
2025-01-01,Gedung_I,Waste,35.36,kg
2025-01-01,Gedung_J,Energy,221.0,kWh
2025-01-01,Gedung_J,Water,818.52,L
2025-01-01,Gedung_J,CO2,823.94,ppm
2025-01-01,Gedung_J,Waste,36.75,kg
2025-01-01,Gedung_K,Energy,199.78,kWh
2025-01-01,Gedung_K,Water,245.82,L
2025-01-01,Gedung_K,CO2,475.34,ppm
2025-01-01,Gedung_K,Waste,20.92,kg
2025-01-01,Gedung_L,Energy,93.56,kWh
2025-01-01,Gedung_L,Water,432.79,L
2025-01-01,Gedung_L,CO2,405.55,ppm
2025-01-01,Gedung_L,Waste,20.29,kg
2025-01-01,Gedung_M,Energy,188.07,kWh
2025-01-01,Gedung_M,Water,564.83,L
2025-01-01,Gedung_M,CO2,553.6,ppm
2025-01-01,Gedung_M,Waste,16.52,kg
2025-01-01,Gedung_N,Energy,125.39,kWh
2025-01-01,Gedung_N,Water,1136.65,L
2025-01-01,Gedung_N,CO2,706.42,ppm
2025-01-01,Gedung_N,Waste,38.5,kg
2025-01-01,Gedung_O,Energy,109.09,kWh
2025-01-01,Gedung_O,Water,929.13,L
2025-01-01,Gedung_O,CO2,439.87,ppm
2025-01-01,Gedung_O,Waste,25.87,kg
2025-01-01,Gedung_P,Energy,248.22,kWh
2025-01-01,Gedung_P,Water,840.0,L
2025-01-01,Gedung_P,CO2,656.32,ppm
2025-01-01,Gedung_P,Waste,42.65,kg
2025-01-01,Gedung_Q,Energy,223.28,kWh
2025-01-01,Gedung_Q,Water,976.0,L
2025-01-01,Gedung_Q,CO2,475.98,ppm
2025-01-01,Gedung_Q,Waste,6.77,kg
2025-01-01,Gedung_R,Energy,133.63,kWh
2025-01-01,Gedung_R,Water,467.74,L
2025-01-01,Gedung_R,CO2,466.04,ppm
2025-01-01,Gedung_R,Waste,56.86,kg
2025-01-01,Gedung_S,Energy,228.98,kWh
2025-01-01,Gedung_S,Water,514.68,L
2025-01-01,Gedung_S,CO2,710.49,ppm
2025-01-01,Gedung_S,Waste,26.76,kg
2025-01-01,Gedung_T,Energy,235.47,kWh
2025-01-01,Gedung_T,Water,658.85,L
2025-01-01,Gedung_T,CO2,495.68,ppm
2025-01-01,Gedung_T,Waste,18.56,kg
2025-01-02,Gedung_A,Energy,175.43,kWh
2025-01-02,Gedung_A,Water,462.74,L
2025-01-02,Gedung_A,CO2,671.52,ppm
2025-01-02,Gedung_A,Waste,54.38,kg
2025-01-02,Gedung_B,Energy,147.9,kWh
2025-01-02,Gedung_B,Water,419.32,L
2025-01-02,Gedung_B,CO2,898.65,ppm
2025-01-02,Gedung_B,Waste,33.02,kg
2025-01-02,Gedung_C,Energy,95.45,kWh
2025-01-02,Gedung_C,Water,247.12,L
2025-01-02,Gedung_C,CO2,410.31,ppm
2025-01-02,Gedung_C,Waste,39.51,kg
2025-01-02,Gedung_D,Energy,214.65,kWh
2025-01-02,Gedung_D,Water,622.16,L
2025-01-02,Gedung_D,CO2,384.94,ppm
2025-01-02,Gedung_D,Waste,25.99,kg
2025-01-02,Gedung_E,Energy,249.34,kWh
2025-01-02,Gedung_E,Water,729.11,L
2025-01-02,Gedung_E,CO2,884.09,ppm
2025-01-02,Gedung_E,Waste,52.34,kg
2025-01-02,Gedung_F,Energy,81.95,kWh
2025-01-02,Gedung_F,Water,920.72,L
2025-01-02,Gedung_F,CO2,724.94,ppm
2025-01-02,Gedung_F,Waste,34.53,kg
2025-01-02,Gedung_G,Energy,125.36,kWh
2025-01-02,Gedung_G,Water,840.96,L
2025-01-02,Gedung_G,CO2,411.35,ppm
2025-01-02,Gedung_G,Waste,28.91,kg
2025-01-02,Gedung_H,Energy,157.13,kWh
2025-01-02,Gedung_H,Water,1153.82,L
2025-01-02,Gedung_H,CO2,831.72,ppm
2025-01-02,Gedung_H,Waste,19.49,kg
2025-01-02,Gedung_I,Energy,165.1,kWh
2025-01-02,Gedung_I,Water,378.65,L
2025-01-02,Gedung_I,CO2,851.95,ppm
2025-01-02,Gedung_I,Waste,52.88,kg
2025-01-02,Gedung_J,Energy,130.74,kWh
2025-01-02,Gedung_J,Water,838.95,L
2025-01-02,Gedung_J,CO2,684.93,ppm
2025-01-02,Gedung_J,Waste,13.41,kg
2025-01-02,Gedung_K,Energy,209.63,kWh
2025-01-02,Gedung_K,Water,739.38,L
2025-01-02,Gedung_K,CO2,778.24,ppm
2025-01-02,Gedung_K,Waste,34.17,kg
2025-01-02,Gedung_L,Energy,80.1,kWh
2025-01-02,Gedung_L,Water,524.16,L
2025-01-02,Gedung_L,CO2,360.71,ppm
2025-01-02,Gedung_L,Waste,56.1,kg
2025-01-02,Gedung_M,Energy,229.38,kWh
2025-01-02,Gedung_M,Water,1031.67,L
2025-01-02,Gedung_M,CO2,519.13,ppm
2025-01-02,Gedung_M,Waste,8.19,kg
2025-01-02,Gedung_N,Energy,229.26,kWh
2025-01-02,Gedung_N,Water,1146.95,L
2025-01-02,Gedung_N,CO2,397.11,ppm
2025-01-02,Gedung_N,Waste,31.73,kg
2025-01-02,Gedung_O,Energy,91.77,kWh
2025-01-02,Gedung_O,Water,960.6,L
2025-01-02,Gedung_O,CO2,771.21,ppm
2025-01-02,Gedung_O,Waste,12.06,kg
2025-01-02,Gedung_P,Energy,160.8,kWh
2025-01-02,Gedung_P,Water,749.8,L
2025-01-02,Gedung_P,CO2,495.78,ppm
2025-01-02,Gedung_P,Waste,52.98,kg
2025-01-02,Gedung_Q,Energy,151.93,kWh
2025-01-02,Gedung_Q,Water,411.8,L
2025-01-02,Gedung_Q,CO2,646.61,ppm
2025-01-02,Gedung_Q,Waste,45.15,kg
2025-01-02,Gedung_R,Energy,114.2,kWh
2025-01-02,Gedung_R,Water,511.72,L
2025-01-02,Gedung_R,CO2,897.33,ppm
2025-01-02,Gedung_R,Waste,40.74,kg
2025-01-02,Gedung_S,Energy,154.48,kWh
2025-01-02,Gedung_S,Water,717.58,L
2025-01-02,Gedung_S,CO2,416.55,ppm
2025-01-02,Gedung_S,Waste,17.36,kg
2025-01-02,Gedung_T,Energy,137.47,kWh
2025-01-02,Gedung_T,Water,788.31,L
2025-01-02,Gedung_T,CO2,476.56,ppm
2025-01-02,Gedung_T,Waste,17.11,kg
2025-01-03,Gedung_A,Energy,92.07,kWh
2025-01-03,Gedung_A,Water,831.1,L
2025-01-03,Gedung_A,CO2,475.92,ppm
2025-01-03,Gedung_A,Waste,54.8,kg
2025-01-03,Gedung_B,Energy,226.14,kWh
2025-01-03,Gedung_B,Water,270.86,L
2025-01-03,Gedung_B,CO2,480.9,ppm
2025-01-03,Gedung_B,Waste,41.79,kg
2025-01-03,Gedung_C,Energy,116.42,kWh
2025-01-03,Gedung_C,Water,332.31,L
2025-01-03,Gedung_C,CO2,864.53,ppm
2025-01-03,Gedung_C,Waste,36.41,kg
2025-01-03,Gedung_D,Energy,160.35,kWh
2025-01-03,Gedung_D,Water,984.62,L
2025-01-03,Gedung_D,CO2,794.12,ppm
2025-01-03,Gedung_D,Waste,15.47,kg
2025-01-03,Gedung_E,Energy,96.48,kWh
2025-01-03,Gedung_E,Water,631.05,L
2025-01-03,Gedung_E,CO2,582.97,ppm
2025-01-03,Gedung_E,Waste,30.69,kg
2025-01-03,Gedung_F,Energy,203.94,kWh
2025-01-03,Gedung_F,Water,873.36,L
2025-01-03,Gedung_F,CO2,891.29,ppm
2025-01-03,Gedung_F,Waste,10.41,kg
2025-01-03,Gedung_G,Energy,148.45,kWh
2025-01-03,Gedung_G,Water,539.3,L
2025-01-03,Gedung_G,CO2,823.92,ppm
2025-01-03,Gedung_G,Waste,18.68,kg
2025-01-03,Gedung_H,Energy,112.34,kWh
2025-01-03,Gedung_H,Water,648.61,L
2025-01-03,Gedung_H,CO2,582.03,ppm
2025-01-03,Gedung_H,Waste,20.32,kg
2025-01-03,Gedung_I,Energy,122.47,kWh
2025-01-03,Gedung_I,Water,1123.27,L
2025-01-03,Gedung_I,CO2,593.72,ppm
2025-01-03,Gedung_I,Waste,52.37,kg
2025-01-03,Gedung_J,Energy,173.56,kWh
2025-01-03,Gedung_J,Water,250.59,L
2025-01-03,Gedung_J,CO2,899.61,ppm
2025-01-03,Gedung_J,Waste,50.98,kg
2025-01-03,Gedung_K,Energy,244.73,kWh
2025-01-03,Gedung_K,Water,1126.37,L
2025-01-03,Gedung_K,CO2,816.78,ppm
2025-01-03,Gedung_K,Waste,14.15,kg
2025-01-03,Gedung_L,Energy,162.56,kWh
2025-01-03,Gedung_L,Water,413.75,L
2025-01-03,Gedung_L,CO2,570.57,ppm
2025-01-03,Gedung_L,Waste,8.22,kg
2025-01-03,Gedung_M,Energy,144.43,kWh
2025-01-03,Gedung_M,Water,1185.31,L
2025-01-03,Gedung_M,CO2,495.86,ppm
2025-01-03,Gedung_M,Waste,48.12,kg
2025-01-03,Gedung_N,Energy,157.35,kWh
2025-01-03,Gedung_N,Water,623.01,L
2025-01-03,Gedung_N,CO2,876.52,ppm
2025-01-03,Gedung_N,Waste,59.75,kg
2025-01-03,Gedung_O,Energy,174.48,kWh
2025-01-03,Gedung_O,Water,918.41,L
2025-01-03,Gedung_O,CO2,435.14,ppm
2025-01-03,Gedung_O,Waste,21.32,kg
2025-01-03,Gedung_P,Energy,244.68,kWh
2025-01-03,Gedung_P,Water,779.18,L
2025-01-03,Gedung_P,CO2,648.21,ppm
2025-01-03,Gedung_P,Waste,46.14,kg
2025-01-03,Gedung_Q,Energy,89.72,kWh
2025-01-03,Gedung_Q,Water,784.18,L
2025-01-03,Gedung_Q,CO2,626.57,ppm
2025-01-03,Gedung_Q,Waste,51.9,kg
2025-01-03,Gedung_R,Energy,106.76,kWh
2025-01-03,Gedung_R,Water,1160.78,L
2025-01-03,Gedung_R,CO2,394.06,ppm
2025-01-03,Gedung_R,Waste,15.22,kg
2025-01-03,Gedung_S,Energy,181.16,kWh
2025-01-03,Gedung_S,Water,875.21,L
2025-01-03,Gedung_S,CO2,479.36,ppm
2025-01-03,Gedung_S,Waste,11.59,kg
2025-01-03,Gedung_T,Energy,231.35,kWh
2025-01-03,Gedung_T,Water,446.22,L
2025-01-03,Gedung_T,CO2,676.99,ppm
2025-01-03,Gedung_T,Waste,39.07,kg
2025-01-04,Gedung_A,Energy,151.27,kWh
2025-01-04,Gedung_A,Water,783.67,L
2025-01-04,Gedung_A,CO2,637.53,ppm
2025-01-04,Gedung_A,Waste,56.41,kg
2025-01-04,Gedung_B,Energy,114.72,kWh
2025-01-04,Gedung_B,Water,916.19,L
2025-01-04,Gedung_B,CO2,481.28,ppm
2025-01-04,Gedung_B,Waste,26.77,kg
2025-01-04,Gedung_C,Energy,194.19,kWh
2025-01-04,Gedung_C,Water,500.0,L
2025-01-04,Gedung_C,CO2,523.9,ppm
2025-01-04,Gedung_C,Waste,46.35,kg
2025-01-04,Gedung_D,Energy,92.33,kWh
2025-01-04,Gedung_D,Water,658.29,L
2025-01-04,Gedung_D,CO2,899.15,ppm
2025-01-04,Gedung_D,Waste,59.79,kg
2025-01-04,Gedung_E,Energy,92.45,kWh
2025-01-04,Gedung_E,Water,413.15,L
2025-01-04,Gedung_E,CO2,495.86,ppm
2025-01-04,Gedung_E,Waste,56.33,kg
2025-01-04,Gedung_F,Energy,229.75,kWh
2025-01-04,Gedung_F,Water,1079.27,L
2025-01-04,Gedung_F,CO2,553.24,ppm
2025-01-04,Gedung_F,Waste,13.68,kg
2025-01-04,Gedung_G,Energy,221.74,kWh
2025-01-04,Gedung_G,Water,903.54,L
2025-01-04,Gedung_G,CO2,686.42,ppm
2025-01-04,Gedung_G,Waste,59.3,kg
2025-01-04,Gedung_H,Energy,191.18,kWh
2025-01-04,Gedung_H,Water,207.82,L
2025-01-04,Gedung_H,CO2,799.41,ppm
2025-01-04,Gedung_H,Waste,21.47,kg
2025-01-04,Gedung_I,Energy,192.78,kWh
2025-01-04,Gedung_I,Water,1138.93,L
2025-01-04,Gedung_I,CO2,423.86,ppm
2025-01-04,Gedung_I,Waste,11.35,kg
2025-01-04,Gedung_J,Energy,98.2,kWh
2025-01-04,Gedung_J,Water,753.22,L
2025-01-04,Gedung_J,CO2,499.79,ppm
2025-01-04,Gedung_J,Waste,38.27,kg
2025-01-04,Gedung_K,Energy,201.99,kWh
2025-01-04,Gedung_K,Water,403.6,L
2025-01-04,Gedung_K,CO2,698.83,ppm
2025-01-04,Gedung_K,Waste,19.52,kg
2025-01-04,Gedung_L,Energy,163.05,kWh
2025-01-04,Gedung_L,Water,1105.34,L
2025-01-04,Gedung_L,CO2,815.36,ppm
2025-01-04,Gedung_L,Waste,10.08,kg
2025-01-04,Gedung_M,Energy,152.01,kWh
2025-01-04,Gedung_M,Water,476.68,L
2025-01-04,Gedung_M,CO2,351.95,ppm
2025-01-04,Gedung_M,Waste,47.41,kg
2025-01-04,Gedung_N,Energy,188.31,kWh
2025-01-04,Gedung_N,Water,461.96,L
2025-01-04,Gedung_N,CO2,757.68,ppm
2025-01-04,Gedung_N,Waste,35.34,kg
2025-01-04,Gedung_O,Energy,152.71,kWh
2025-01-04,Gedung_O,Water,209.67,L
2025-01-04,Gedung_O,CO2,391.38,ppm
2025-01-04,Gedung_O,Waste,53.57,kg
2025-01-04,Gedung_P,Energy,233.67,kWh
2025-01-04,Gedung_P,Water,745.59,L
2025-01-04,Gedung_P,CO2,809.03,ppm
2025-01-04,Gedung_P,Waste,37.04,kg
2025-01-04,Gedung_Q,Energy,105.18,kWh
2025-01-04,Gedung_Q,Water,327.45,L
2025-01-04,Gedung_Q,CO2,519.54,ppm
2025-01-04,Gedung_Q,Waste,54.44,kg
2025-01-04,Gedung_R,Energy,215.34,kWh
2025-01-04,Gedung_R,Water,1060.7,L
2025-01-04,Gedung_R,CO2,844.41,ppm
2025-01-04,Gedung_R,Waste,16.55,kg
2025-01-04,Gedung_S,Energy,122.42,kWh
2025-01-04,Gedung_S,Water,302.79,L
2025-01-04,Gedung_S,CO2,779.06,ppm
2025-01-04,Gedung_S,Waste,53.63,kg
2025-01-04,Gedung_T,Energy,149.08,kWh
2025-01-04,Gedung_T,Water,820.66,L
2025-01-04,Gedung_T,CO2,435.0,ppm
2025-01-04,Gedung_T,Waste,56.14,kg
2025-01-05,Gedung_A,Energy,226.98,kWh
2025-01-05,Gedung_A,Water,1176.21,L
2025-01-05,Gedung_A,CO2,795.92,ppm
2025-01-05,Gedung_A,Waste,53.48,kg
2025-01-05,Gedung_B,Energy,84.21,kWh
2025-01-05,Gedung_B,Water,936.56,L
2025-01-05,Gedung_B,CO2,532.7,ppm
2025-01-05,Gedung_B,Waste,56.19,kg
2025-01-05,Gedung_C,Energy,216.38,kWh
2025-01-05,Gedung_C,Water,1064.06,L
2025-01-05,Gedung_C,CO2,795.91,ppm
2025-01-05,Gedung_C,Waste,19.67,kg
2025-01-05,Gedung_D,Energy,213.85,kWh
2025-01-05,Gedung_D,Water,308.1,L
2025-01-05,Gedung_D,CO2,829.69,ppm
2025-01-05,Gedung_D,Waste,52.22,kg
2025-01-05,Gedung_E,Energy,117.81,kWh
